,Origin,Cylinders,Displacement,Horsepower,Weight,Acceleration,ModelYear,MPG
286,1,8,302.0,129.0,3725.0,13.4,79,17.6
287,1,8,351.0,138.0,3955.0,13.2,79,16.5
288,1,8,318.0,135.0,3830.0,15.2,79,18.2
290,1,8,351.0,142.0,4054.0,14.3,79,15.5
291,1,8,267.0,125.0,3605.0,15.0,79,19.2
292,1,8,360.0,150.0,3940.0,13.0,79,18.5
295,1,4,98.0,80.0,1915.0,14.4,79,35.7
296,1,4,121.0,80.0,2670.0,15.0,79,27.4
298,1,8,350.0,125.0,3900.0,17.4,79,23.0
299,2,4,141.0,71.0,3190.0,24.8,79,27.2
300,1,8,260.0,90.0,3420.0,22.2,79,23.9
301,1,4,105.0,70.0,2200.0,13.2,79,34.2
302,1,4,105.0,70.0,2150.0,14.9,79,34.5
303,3,4,85.0,65.0,2020.0,19.2,79,31.8
304,2,4,91.0,69.0,2130.0,14.7,79,37.3
305,1,4,151.0,90.0,2670.0,16.0,79,28.4
306,1,6,173.0,115.0,2595.0,11.3,79,28.8
307,1,6,173.0,115.0,2700.0,12.9,79,26.8
308,1,4,151.0,90.0,2556.0,13.2,79,33.5
310,3,4,89.0,60.0,1968.0,18.8,80,38.1
311,1,4,98.0,70.0,2120.0,15.5,80,32.1
313,1,4,151.0,90.0,2678.0,16.5,80,28.0
314,1,4,140.0,88.0,2870.0,18.1,80,26.4
315,1,4,151.0,90.0,3003.0,20.1,80,24.3
316,1,6,225.0,90.0,3381.0,18.7,80,19.1
317,2,4,97.0,78.0,2188.0,15.8,80,34.3
319,3,4,120.0,75.0,2542.0,17.5,80,31.3
320,3,4,119.0,92.0,2434.0,15.0,80,37.0
321,3,4,108.0,75.0,2265.0,15.2,80,32.2
322,3,4,86.0,65.0,2110.0,17.9,80,46.6
323,1,4,156.0,105.0,2800.0,14.4,80,27.9
325,2,4,90.0,48.0,2085.0,21.7,80,44.3
326,2,4,90.0,48.0,2335.0,23.7,80,43.4
327,2,5,121.0,67.0,2950.0,19.9,80,36.4
328,2,4,146.0,67.0,3250.0,21.8,80,30.0
329,3,4,91.0,67.0,1850.0,13.8,80,44.6
331,3,4,97.0,67.0,2145.0,18.0,80,33.8
334,3,3,70.0,100.0,2420.0,12.5,80,23.7
337,3,4,107.0,72.0,2290.0,17.0,80,32.4
339,1,4,151.0,84.0,2635.0,16.4,81,26.6
342,1,4,135.0,84.0,2385.0,12.9,81,30.0
343,3,4,79.0,58.0,1755.0,16.9,81,39.1
345,3,4,81.0,60.0,1760.0,16.1,81,35.1
347,3,4,85.0,65.0,1975.0,19.4,81,37.0
348,3,4,89.0,62.0,2050.0,17.3,81,37.7
349,3,4,91.0,68.0,1985.0,16.0,81,34.1
350,1,4,105.0,63.0,2215.0,14.9,81,34.7
351,1,4,98.0,65.0,2045.0,16.2,81,34.4
352,1,4,98.0,65.0,2380.0,20.7,81,29.9
355,3,4,107.0,75.0,2210.0,14.4,81,33.7
358,3,4,120.0,74.0,2635.0,18.3,81,31.6
359,2,4,141.0,80.0,3230.0,20.4,81,28.1
360,2,6,145.0,76.0,3160.0,19.6,81,30.7
362,3,6,146.0,120.0,2930.0,13.8,81,24.2
363,1,6,231.0,110.0,3415.0,15.8,81,22.4
364,1,8,350.0,105.0,3725.0,19.0,81,26.6
365,1,6,200.0,88.0,3060.0,17.1,81,20.2
366,1,6,225.0,85.0,3465.0,16.6,81,17.6
367,1,4,112.0,88.0,2605.0,19.6,82,28.0
368,1,4,112.0,88.0,2640.0,18.6,82,27.0
369,1,4,112.0,88.0,2395.0,18.0,82,34.0
370,1,4,112.0,85.0,2575.0,16.2,82,31.0
371,1,4,135.0,84.0,2525.0,16.0,82,29.0
372,1,4,151.0,90.0,2735.0,18.0,82,27.0
373,1,4,140.0,92.0,2865.0,16.4,82,24.0
375,2,4,105.0,74.0,1980.0,15.3,82,36.0
376,3,4,91.0,68.0,2025.0,18.2,82,37.0
378,1,4,105.0,63.0,2125.0,14.7,82,38.0
380,3,4,120.0,88.0,2160.0,14.5,82,36.0
381,3,4,107.0,75.0,2205.0,14.5,82,36.0
384,3,4,91.0,67.0,1965.0,15.7,82,32.0
385,3,4,91.0,67.0,1995.0,16.2,82,38.0
386,1,6,181.0,110.0,2945.0,16.4,82,25.0
388,1,4,156.0,92.0,2585.0,14.5,82,26.0
389,1,6,232.0,112.0,2835.0,14.7,82,22.0
391,1,4,135.0,84.0,2370.0,13.0,82,36.0
394,2,4,97.0,52.0,2130.0,24.6,82,44.0
395,1,4,135.0,84.0,2295.0,11.6,82,32.0
396,1,4,120.0,79.0,2625.0,18.6,82,28.0
