Origin,Cylinders,Displacement,Horsepower,Weight,Acceleration,ModelYear,MPG
3,4,78.000,52.000,1985.000,19.400,78,7.039
3,6,156.000,122.000,2807.000,13.500,73,4.292
1,4,111.000,80.000,2155.000,14.800,77,6.438
1,8,260.000,110.000,4060.000,19.000,77,3.648
2,4,79.000,67.000,2000.000,16.000,74,6.652
1,8,350.000,160.000,4456.000,13.500,72,2.575
1,6,231.000,105.000,3535.000,19.200,78,4.120
1,8,351.000,142.000,4054.000,14.300,79,3.326
1,8,307.000,130.000,3504.000,12.000,70,3.863
3,4,91.000,67.000,1995.000,16.200,82,8.155
1,8,304.000,150.000,3433.000,12.000,70,3.433
3,4,79.000,67.000,1950.000,19.000,74,6.652
1,4,112.000,88.000,2605.000,19.600,82,6.009
1,6,232.000,112.000,2835.000,14.700,82,4.721
1,8,318.000,150.000,4077.000,14.000,72,3.004
2,4,121.000,76.000,2511.000,18.000,72,4.721
3,4,81.000,60.000,1760.000,16.100,81,7.532
3,4,85.000,70.000,1945.000,16.800,77,7.189
2,5,131.000,103.000,2830.000,15.900,78,4.356
1,6,250.000,72.000,3158.000,19.500,75,3.219
1,6,250.000,100.000,3278.000,18.000,73,3.433
1,8,350.000,170.000,4165.000,11.400,77,3.326
3,4,119.000,97.000,2545.000,17.000,75,5.150
1,6,173.000,110.000,2725.000,12.600,81,5.043
1,4,121.000,80.000,2670.000,15.000,79,5.880
1,8,318.000,150.000,4498.000,14.500,75,3.433
2,4,130.000,102.000,3150.000,15.700,76,4.292
1,4,122.000,86.000,2395.000,16.000,72,4.721
1,4,119.000,82.000,2720.000,19.400,82,6.652
1,6,250.000,100.000,3329.000,15.500,71,3.648
1,6,250.000,105.000,3897.000,18.500,75,3.433
1,4,105.000,63.000,2215.000,14.900,81,7.446
1,6,250.000,110.000,3520.000,16.400,77,3.755
3,4,97.000,88.000,2130.000,14.500,71,5.794
2,4,121.000,115.000,2795.000,15.700,78,4.635
1,8,305.000,130.000,3840.000,15.400,79,3.648
1,8,350.000,150.000,4699.000,14.500,74,2.790
2,4,101.000,83.000,2202.000,15.300,76,5.794
1,4,156.000,105.000,2800.000,14.400,80,5.987
1,4,151.000,90.000,3003.000,20.100,80,5.215
1,6,225.000,100.000,3430.000,17.200,78,4.399
1,6,258.000,95.000,3193.000,17.800,76,3.755
1,8,350.000,125.000,3900.000,17.400,79,4.936
1,8,350.000,175.000,4100.000,13.000,73,2.790
2,4,97.000,78.000,2188.000,15.800,80,7.361
1,6,232.000,100.000,2634.000,13.000,71,4.077
1,6,231.000,115.000,3245.000,15.400,79,4.614
1,4,98.000,65.000,2045.000,16.200,81,7.382
1,8,302.000,129.000,3169.000,12.000,75,2.790
2,4,121.000,112.000,2933.000,14.500,72,3.863
1,8,318.000,150.000,3940.000,13.200,76,2.790
3,4,134.000,96.000,2702.000,13.500,75,5.150
3,4,120.000,97.000,2506.000,14.500,72,4.936
